SKIP;Saltar
STING_LIKE_A_BEE2;Dejar sin sentido incluso a los/nguardas más fuertes
NINJA;Ninja
NINJA2;Muévete desapercibido

TOTAL;General:
GAME_SCORE;Cuenta
MAIN_MENU;Menú principal


START1;¿Hmm? ¿Que fue ese ruido?
EVIDENCE1;Parece que alguien me ha dejado un regalo.
FINISH1;Alguien quiere que yo compruebe esto./n¿Pero por qué?

START_LEVEL2;"Crimeburg diaria" casa editorial. Yo/ndebería comprobar el catálogo de fichas.
EVIDENCE2;Alguien quería detener al/nperiodista! Me pregunto por qué...
FINISH2;Es hora de visitar el abogado.

START_LEVEL3;Ok, la casa de abogado./nTiene que haber algún tipo de pista
EVIDENCE3;Una foto interesante que podrá ayudar.
FINISH3;La casa está en un mal barrio./n¿Qué estás escondiendo allí.

START4;¿Desde cuándo los policías hacen negocio/ncon los ladrones?
EVIDENCE4;El jefe de la policía está involucrado/nen el secuestro! Vaya giro!
FINISH_LEVEL4;It's time to go check in at the police station.

START_LEVEL5;Servir y proteger, ¿eh?
EVIDENCE5;Looks like arresting Lester gave/nthe chief's career a real shot in the arm!
FINISH5;Es hora de visitar una casa grande!

START6;Espero que a Leicester le gusten las galletas/ncaseras y él sabe algo interesante.
START_LEVEL6;Ok, pero quien dijo que sería va a fácil?
EVIDENCE6;Esto significa que el jefe y Don Carmano/nson socios! El asunto se pone interesante

START7;Anda Carmano, vete, yo simplemente miraré/na mi alrededor.
START_LEVEL7;¿Qué podremos encontrar por aquí?/nSeñores, hagan sus apuestas!
EVIDENCE7;No me lo puedo creer! A nuestro alcalde/nle gusta una partida de póquer entre amigos!

START8;El alcalde tiene muy buen gusto!/n¿Por qué se esconde en esa casa tan grande?
EVIDENCE8;Se parece a una llave de la caja fuerte/ndel banco!

START_LEVEL9;La historia está ganando impulso!/nTengo que apresurarme!
EVIDENCE9;Vaya, vaya! Aquí tenemos suficientes/nevidencias para encarcelar a diez!/nYa es hora de largarse de aquí!
FINISH9;Parece que Santa trajo un regalo/nde Navidad al Fiscal de Distrito
FINISH9_2;Ellos han obtenido su merecido./nEsto es el fin del crimen en la ciudad!
FINISH9_3;Pero, por qué tengo la sensación de que/ntodo esto era solamente el comienzo de algo/nmás grande?

COMICS1;Desde la infancia, Bob sabía cual es su destino.
COMICS2;El desarrollaba las habilidades necesarias/ndurante años.
COMICS3;El se entrenaba muy duro.
COMICS4;Finalmente encontró una meta digna...
COMICS5;...para su lucha.
